Opinions,Original Drivers,Assigned Cluster Number,Percentage of Confidence in Assigned Cluster Number,Assigned Driver,Count for max cluster,Model
"The safety feature included airbags, ebd, traction control system, esp, hill hold control, hill descent control.",Safety Features,1,0.8295133,Safety Features,13,wAd_lda_42
But talking about performance and stability it just sucks!,Performance,1,0.46941698,Safety Features,13,wAd_lda_42
"In terms of basic safety features, the variant seems to be ok. It has abs, dual airbags, rear parking sensors etc.",Safety Features,1,0.8311318,Safety Features,13,wAd_lda_42
When we talk about the comfort and performance this car gets a 2.2 l engine which is giving so high power to the car.,Performance,1,0.7521847,Safety Features,13,wAd_lda_42
"Good car, fabulous model, fantastic interiors, and unbelievable SUV.",Looks,1,0.8914977,Safety Features,13,wAd_lda_42
Looking so stylish and a new generation SUV car today.,Looks,1,0.8779685,Safety Features,13,wAd_lda_42
"A couple of months before they launched the latest trims with panoramic sunroof and wireless charger etc. since my family is very happy with the car, we decided to take the plunge once again",Wireless Charging,1,0.8596496,Safety Features,13,wAd_lda_42
This car is verycomfortable and the sunroof is a very good and nice look,Sunroof,1,0.49902013,Safety Features,13,wAd_lda_42
No other SUV has this many safety features in the base model.,Safety Features,1,0.46519783,Safety Features,13,wAd_lda_42
Prices too high... seating not comfortable at all.,Comfort,1,0.40777293,Safety Features,13,wAd_lda_42
"It has better interiors, best music system.",Infotainment System,1,0.83729553,Safety Features,13,wAd_lda_42
Nice car and good safety features and good braking system and nice alloys and many more,Safety Features,1,0.4758449,Safety Features,13,wAd_lda_42
Jeep compass is an excellent suv which scores on safety features and excellent all round performances.,Safety Features,1,0.46035102,Safety Features,13,wAd_lda_42
"Best car, this SUV looks so beautiful",Looks,1,0.6664729,Safety Features,13,wAd_lda_42
"It's a good car, the pickup is fantastic, the safety features are very good.",Safety Features,1,0.8605247,Safety Features,13,wAd_lda_42
This is a very excellent car with full safety features and with high speed.,Safety Features,1,0.8605397,Safety Features,13,wAd_lda_42
It is an excellent suv which scores on safety features and excellent all-round performances.,Safety Features,1,0.48875585,Safety Features,13,wAd_lda_42
"Very good car high performance, very high speed andit is a luxury car.",Performance,1,0.90237653,Safety Features,13,wAd_lda_42
It has good safety features.,Safety Features,1,0.7559472,Safety Features,13,wAd_lda_42
It is a very nice car with all the safety features.,Safety Features,1,0.8047545,Safety Features,13,wAd_lda_42
Expected better distribution of the safety features.,Safety Features,1,0.520896,Safety Features,13,wAd_lda_42
"Spacious and comfortable 
 had an excellent experience while offroading in the hilly terrain.",Comfort,1,0.7323521,Safety Features,13,wAd_lda_42
It is an excellent SUV that scores on safety features and excellent all-round performances.,Performance,1,0.48931625,Safety Features,13,wAd_lda_42
"And i m very happy and satisfied with the performance, comfort, and quality.",Performance,1,0.3844498,Safety Features,13,wAd_lda_42
Jeep compass is an excellent suv which scores on safety features and excellent all round performances.,Performance,1,0.46002617,Safety Features,13,wAd_lda_42
One of the worst bose systems I have seen is in this car,Infotainment System,10,0.67060083,Infotainment System,14,wAd_lda_42
Looks gorgeous in silver and black color.,Looks,10,0.33992618,Infotainment System,14,wAd_lda_42
Bose sound system? wow,Infotainment System,10,0.60487753,Infotainment System,14,wAd_lda_42
"gtx with dct which most people are after does miss out on quite a few features like:-
 sunroof, bose system, ventilated seats etc",Ventilated Seats,10,0.71894056,Infotainment System,14,wAd_lda_42
The infotainment system is average but not best.,Infotainment System,10,0.4685931,Infotainment System,14,wAd_lda_42
non availability of ventilated seats,Ventilated Seats,10,0.67459387,Infotainment System,14,wAd_lda_42
The sound system is extraordinary.,Infotainment System,10,0.6745937,Infotainment System,14,wAd_lda_42
Amazing look with awesome performance.,Performance,10,0.80475336,Infotainment System,14,wAd_lda_42
"Excellent performance, power is great, and boot space is great.",Performance,10,0.6492148,Infotainment System,14,wAd_lda_42
Build quality is also amazing......,Build Quality,10,0.7559491,Infotainment System,14,wAd_lda_42
The car sound system is very perfect.,Infotainment System,10,0.80475265,Infotainment System,14,wAd_lda_42
Car quality is looking very good,Build Quality,10,0.4055268,Infotainment System,14,wAd_lda_42
"Amazing features including some first in class like 360° camera, ventilated seats.",Ventilated Seats,10,0.9023695,Infotainment System,14,wAd_lda_42
"This carsound system is amazing 
 I love this sound",Infotainment System,10,0.43759987,Infotainment System,14,wAd_lda_42
"One of the best cars ever seen .....this can lead to cool life.nice mileage, engine power, and strong build quality.",Build Quality,10,0.92489845,Infotainment System,14,wAd_lda_42
"Wow, 26 for diesel gas is an amazing price.",Cost,10,0.35019913,Infotainment System,14,wAd_lda_42
"Excellent performance, power is great, and boot space is great.",Boot Space,10,0.64938986,Infotainment System,14,wAd_lda_42
"Build quality, interior part quality, feature list, and space is good.",Build Quality,10,0.46180314,Infotainment System,14,wAd_lda_42
Built quality is good.,Build Quality,10,0.75594765,Infotainment System,14,wAd_lda_42
The Fortuner look is also very cool.,Looks,10,0.49288076,Infotainment System,14,wAd_lda_42
Bose sound quality is awesome.,Infotainment System,10,0.7559469,Infotainment System,14,wAd_lda_42
Super drive quality and awesome road presence.,Road Presence,10,0.6542004,Infotainment System,14,wAd_lda_42
Mg hector is a premium car with a great built quality.,Build Quality,10,0.4846753,Infotainment System,14,wAd_lda_42
The infotainment system is too good for sound quality is awesome.,Infotainment System,10,0.8605413,Infotainment System,14,wAd_lda_42
"Amazing features, stylish look and comfortable to drive.",Looks,10,0.860538,Infotainment System,14,wAd_lda_42
"The music system is great as well as the electronic break, it is a great feature.",Infotainment System,10,0.877971,Infotainment System,14,wAd_lda_42
Very good built quality.,Build Quality,10,0.75594765,Infotainment System,14,wAd_lda_42
Perfect size and the premium build quality to go along with it.,Build Quality,10,0.8372961,Infotainment System,14,wAd_lda_42
It is a great car in this reasonable price range.,Cost,10,0.80475336,Infotainment System,14,wAd_lda_42
"I don't care much about the sun roof, bose speakers or ventilated seats",Ventilated Seats,10,0.8779694,Infotainment System,14,wAd_lda_42
Amazing car with a lot of space and features.,Cost,10,0.3912342,Infotainment System,14,wAd_lda_42
Amazing power and performance.,Performance,10,0.49425176,Infotainment System,14,wAd_lda_42
Fabulous built quality.,Build Quality,10,0.48066086,Infotainment System,14,wAd_lda_42
The build quality is best in its segment.,Build Quality,10,0.52851915,Infotainment System,14,wAd_lda_42
The seats are super comfortable.,Comfort,10,0.45609716,Infotainment System,14,wAd_lda_42
Good looking stylish car of the year.,Looks,10,0.521841,Infotainment System,14,wAd_lda_42
Hector has awesome build quality.,Build Quality,10,0.59910965,Infotainment System,14,wAd_lda_42
Performance is great and looking dynamic from the front.,Performance,10,0.51936775,Infotainment System,14,wAd_lda_42
"Awesome features and top-class looks, a good controlling system, and a mind-blowing music system.",Infotainment System,10,0.4878437,Infotainment System,14,wAd_lda_42
The music system sounds excellent.,Infotainment System,10,0.80475074,Infotainment System,14,wAd_lda_42
The infotainment system is superb.,Infotainment System,10,0.755949,Infotainment System,14,wAd_lda_42
The looks the build quality is superb the infotainment system is superb.,Infotainment System,10,0.877974,Infotainment System,14,wAd_lda_42
An amazing car with the best features and at an affordable price range.,Cost,10,0.8779719,Infotainment System,14,wAd_lda_42
The ventilated seats is a warmly accepted feature by the family.,Ventilated Seats,10,0.6005442,Infotainment System,14,wAd_lda_42
No ventilated seats,Ventilated Seats,10,0.67459387,Infotainment System,14,wAd_lda_42
It's looking great.,Looks,10,0.67459285,Infotainment System,14,wAd_lda_42
The infotainment system is too primitive for my liking.,Infotainment System,10,0.50330025,Infotainment System,14,wAd_lda_42
Riding experience is awesome and looks also good.,Looks,10,0.45070195,Infotainment System,14,wAd_lda_42
Perfect car in the price range.,Cost,10,0.8047513,Infotainment System,14,wAd_lda_42
Safety features are awesome.,Safety Features,10,0.48859787,Infotainment System,14,wAd_lda_42
Looks great! happy miles,Looks,10,0.44300255,Infotainment System,14,wAd_lda_42
Buying experience: the best price of this car superb.,Cost,10,0.8605381,Infotainment System,14,wAd_lda_42
And its look is very perfect.,Looks,10,0.6745853,Infotainment System,14,wAd_lda_42
Because the built and looks of the compass are exceptionally great.,Looks,10,0.5958495,Infotainment System,14,wAd_lda_42
The looks are amazing.,Looks,10,0.6745924,Infotainment System,14,wAd_lda_42
"Features missing on gtx+ would be sunroof, 360 camera, ventilated seats, power seats are good to have, not must have.",Ventilated Seats,10,0.47559017,Infotainment System,14,wAd_lda_42
The overall performance of the vehicle is awesome.,Performance,10,0.40171775,Infotainment System,14,wAd_lda_42
Chaps wanting SUV or crossover type ground clearances may be disappointed.,Ground Clearance,6,0.59764653,Cost,2,wAd_lda_42
Powerful engine and safety features are enhancing the car.,Safety Features,6,0.49649033,Cost,2,wAd_lda_42
But this isn't expected with the harrier considering its price range and the #aboveall marketing.,Cost,6,0.89152706,Cost,2,wAd_lda_42
It has a powerful engine as well as powerful performance.,Performance,6,0.4606112,Cost,2,wAd_lda_42
#NAME?,Infotainment System,6,0.51186657,Cost,2,wAd_lda_42
"Saw a few pictures on twitter, the red and black car looks stunning!",Looks,6,0.8915256,Cost,2,wAd_lda_42
Mahindra xuv500 has a very powerful engine but built quality not perfect also other parts like breaking system is very poor.,Build Quality,6,0.54098463,Cost,2,wAd_lda_42
"Awesome looking stylish, my dream car, there is none in the competition in this price range.",Cost,6,0.4853552,Cost,2,wAd_lda_42
"Front seating is very comfortable, not sure if its because of the ventilate seat option, but it felt maybe a little too soft.",Ventilated Seats,11,0.6589231,Infotainment System,3,wAd_lda_42
"Larger boot space, more comfort & bigger size.",Boot Space,11,0.8779712,Infotainment System,3,wAd_lda_42
A good SUV... best family car of the year & this is an affordable luxury car with a small amount.,Family Car,11,0.6934073,Infotainment System,3,wAd_lda_42
"Larger boot space, more comfort & bigger size.",Comfort,11,0.8779712,Infotainment System,3,wAd_lda_42
"Case in point, my linea's boot space is 500 liters but it feels at least 1.5 times what the seltos felt.",Boot Space,11,0.9112484,Infotainment System,3,wAd_lda_42
"At l1 (coolest) setting and at an ambient temperature of fewer than 35 degrees, it was uncomfortable inside the car.",Comfort,11,0.9112436,Infotainment System,3,wAd_lda_42
The 1.5l NA petrol will provide poor performance considering the power figures and the size/weight of the vehicle.,Performance,11,0.68949825,Infotainment System,3,wAd_lda_42
The boot space is too large in this car and the music system is too good.,Infotainment System,11,0.87797344,Infotainment System,3,wAd_lda_42
"Interiors are very good, the music system is excellent, cabin lights are very good giving pleasure like heaven.",Infotainment System,11,0.7514589,Infotainment System,3,wAd_lda_42
"Very bad experience from the start, to date every day have been running to their service center, car frequently stalls when changing gear from third to second, touch screen infotainment system got hung, then blacked out, was replaced by the company & still has issues.",Infotainment System,11,0.7024638,Infotainment System,3,wAd_lda_42
"The safety features, hill assist, everything is great!",Safety Features,11,0.3337078,Infotainment System,3,wAd_lda_42
"This is the base petrol model, doesn't even have a sunroof nor front parking sensors.",Sunroof,37,0.86053634,Sunroof,4,wAd_lda_42
But they have to improve a little bit of transmission and engine performance.,Performance,37,0.6566693,Sunroof,4,wAd_lda_42
It is as reliable as a wood stove and regular maintenance costs are fair too.,Cost,37,0.8779516,Sunroof,4,wAd_lda_42
"They should work on the infotainment system, tire Tronics and some other basic features and no one will be in que to compete with them because everything else is perfect.",Infotainment System,37,0.60867476,Sunroof,4,wAd_lda_42
The most sensational panoramic sunroof has got automatic folding and unfolding cover of the glass.,Sunroof,37,0.90237164,Sunroof,4,wAd_lda_42
